id,title,author,publisher,publicationDate,description,price,count
0870b888-cb88-4022-820e-a2021dbe2f12,To Kill a Mockingbird,Harper Lee,J. B. Lippincott & Co.,1960-07-11,To Kill a Mockingbird is a novel by Harper Lee published in 1960. It is set in the Deep South and explores themes of racial injustice and the loss of innocence. The story follows young Scout Finch and her brother Jem as they grow up in a small Alabama town and witness the trial of a black man falsely accused of raping a white woman.,10,8
79775204-985a-4b69-881b-5852d317caf9,1984,George Orwell,Secker & Warburg,1949-06-08,"1984 is a dystopian novel by George Orwell published in 1949. It is set in a future totalitarian society where individualism is suppressed and the government controls every aspect of life. The story follows Winston Smith as he rebels against the Party and falls in love with Julia, leading to his eventual capture and brainwashing.",10,3
cead5fbd-b79b-4574-8cdf-8b51ca0a21ac,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1925-04-10,"The Great Gatsby is a novel by F. Scott Fitzgerald published in 1925. It is set in the Roaring Twenties and explores themes of wealth, love, and the American Dream. The story follows Jay Gatsby as he tries to win back his former lover, Daisy Buchanan, and navigate the corrupt social scene of Long Island's elite.",15,15
2294784b-b504-4e39-a93c-6be5d23ec99e,Pride and Prejudice,Jane Austen,"T. Egerton, Whitehall",1813-01-28,"Pride and Prejudice is a novel by Jane Austen published in 1813. It is set in rural England and explores themes of social class, marriage, and love. The story follows Elizabeth Bennet as she navigates the relationships and societal expectations of her family and peers, eventually falling in love with the wealthy Mr. Darcy.",20,20
4a4a9fa7-3e70-4d67-a5b6-87ce9bce98a6,The Hobbit,J.R.R. Tolkien,George Allen & Unwin,1937-09-21,"The Hobbit is a fantasy novel by J.R.R. Tolkien published in 1937. It is set in Middle-earth and follows the hobbit Bilbo Baggins as he embarks on a quest to reclaim the treasure of the dragon Smaug, along with a group of dwarves and the wizard Gandalf. The story is a prequel to Tolkien's later work, The Lord of the Rings.",10,10
ab2446e1-6e3f-4cef-9c3b-e20a16c9f21a,The Catcher in the Rye,J.D. Salinger,"Little, Brown and Company",1951-07-16,"The Catcher in the Rye is a novel by J.D. Salingerpublished in 1951. It is a coming-of-age story that explores themes of alienation, loss, and identity. The story follows Holden Caulfield, a teenage boy who has been expelled from his prep school, as he wanders around New York City and grapples with his disillusionment with the adult world.",8,0
039a12f8-bef4-434f-b897-1100d518115e,The Lord of the Rings,J.R.R. Tolkien,George Allen & Unwin,1954-07-29,"The Lord of the Rings is a high fantasy novel by J.R.R. Tolkien published in three volumes between 1954 and 1955. It is set in Middle-earth and follows the hobbit Frodo Baggins as he tries to destroy the One Ring, a powerful artifact created by the dark lord Sauron. Along with his friends and companions, Frodo travels through dangerous lands and battles enemies to reach his goal.",30,5
facb45d7-0ec1-4e91-bf4c-f70399707ad8,Harry Potter and the Philosopher's Stone,J.K. Rowling,Bloomsbury,1997-06-26,"Harry Potter and the Philosopher's Stone is a fantasy novel by J.K. Rowling published in 1997. It is the first book in the Harry Potter series and follows the young wizard Harry Potter as he discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry. Along with his friends Ron Weasley and Hermione Granger, Harry must battle the evil Lord Voldemort and protect the wizarding world from his influence.",10,8
22e829bd-f917-4f1f-acb7-3f873850114e,The Da Vinci Code,Dan Brown,Doubleday,2003-03-18,The Da Vinci Code is a thriller novel by Dan Brown published in 2003. It centers around a conspiracy theory involving the Holy Grail and the relationship between Jesus Christ and Mary Magdalene. The story follows Harvard symbologist Robert Langdon as he tries to unravel the mystery and avoid dangerous opponents.,15,10
0835108a-a9ee-4d2f-afe6-1dbeffd07a58,The Hunger Games,Suzanne Collins,Scholastic,2008-09-14,"The Hunger Games is a dystopian novel by Suzanne Collins published in 2008. It is set in a future North America where a wealthy Capitol controls 12 impoverished districts by forcing them to send two tributes to compete in the annual Hunger Games, a televised fight to the death. The story follows Katniss Everdeen as she volunteers to take her sister's place and becomes a symbol of resistance against the Capitol.",8,300
225e7d89-443c-4b00-9d68-adb746ffe579,The Fault in Our Stars,John Green,Dutton Books,2012-01-10,"The Fault in Our Stars is a young adult novel by John Green published in 2012. It is a romance story that explores themes of mortality, love, and hope. The story follows Hazel Grace Lancaster, a teenage girl with terminal cancer, as she falls in love with Augustus Waters, another cancer patient, and embarks on a journey to find the author of her favorite book.",10,23
45c00cdc-3e8b-483a-afaf-0df3c9c9ff53,The Alchemist,Paulo Coelho,HarperCollins,1988-01-01,"The Alchemist is a novel by Paulo Coelho published in 1988. It tells the story of Santiago, an Andalusian shepherd boy who dreams of traveling the world in search of a treasure hidden in the Egyptian pyramids. Along the way, he meets a series of characters who teach him important life lessons and help him discover his true destiny. The novel explores themes of destiny, personal legend, and the power of the universe to guide our lives.",25,7
c5c710dc-d9ec-46d0-9a6c-282c3e9edc83,The Unknown Soldier,Väinö Linna,Werner Söderström Osakeyhtiö,1954-01-01,"The Unknown Soldier is a novel by Finnish author Väinö Linna published in 1954. It tells the story of a group of Finnish soldiers fighting in the Continuation War against the Soviet Union. The novel explores themes of patriotism, heroism, and the devastating impact of war on individual lives. It is known for its gritty realism, vivid characters, and powerful portrayal of the Finnish war effort.",15,2
1631b174-9a1b-49bb-ae7f-e3c18fd55546,The Girl with the Dragon Tattoo,Stieg Larsson,Norstedts Förlag,2005-08-01,"The Girl with the Dragon Tattoo is a crime novel by Swedish author Stieg Larsson, published posthumously in 2005. It is the first book in the Millennium series and follows the story of Mikael Blomkvist, a journalist who is hired to investigate the disappearance of a wealthy family's daughter. Along the way, he teams up with Lisbeth Salander, a young computer hacker with a troubled past. The novel explores themes of violence against women, corporate corruption, and the abuse of power.",10,10
ee49ec40-9e0d-4a41-818e-ff709853e5e7,Crime and Punishment,Fyodor Dostoevsky,The Russian Messenger,1866-01-01,"Crime and Punishment is a novel by Fyodor Dostoevsky published in 1866. It tells the story of Rodion Raskolnikov, a poor ex-student in St. Petersburg who murders an old pawnbroker and her sister for money. The novel explores themes of morality, redemption, and the psychology of guilt and features some of the most memorable characters in Russian literature.",20,1
94ead0fd-132d-4e6f-8c9f-6526cce38655,Anna Karenina,Leo Tolstoy,The Russian Messenger,1877-01-01,"Anna Karenina is a novel by Leo Tolstoy published in 1877. It tells the story of the aristocratic Anna Karenina who becomes involved in a scandalous affair with Count Vronsky. The novel explores themes of love, marriage, family, and the struggle between personal desire and societal expectations. It is known for its sweeping narrative, rich characterizations, and masterful portrayal of Russian society.",15,1
88add558-7c1b-4307-8144-6515ae9914db,The Brothers Karamazov,Fyodor Dostoevsky,The Russian Messenger,1880-01-01,"The Brothers Karamazov is a novel by Fyodor Dostoevsky published in 1880. It tells the story of the Karamazov family, focusing particularly on the relationships between the three brothers Dmitry, Ivan, and Alyosha. The novel explores themes of morality, faith, free will, and the nature of human existence. It is known for its complex characters, intricate plot, and philosophical depth.",20,1
346818f2-5ba6-4bb5-9784-cad20af86ebf,The Picture of Dorian Gray,Oscar Wilde,Lippincott's Monthly Magazine,1890-06-20,"The Picture of Dorian Gray is a novel by Oscar Wilde published in 1890. It is a Gothic horror story that explores the themes of beauty, youth, and corruption. The story follows Dorian Gray, a young and handsome man who wishes to remain forever young and beautiful. His wish is granted, but at a terrible cost as his portrait, hidden in his attic, bears the marks of his moral decay and aging.",15,810
d563c4b4-9faa-4e64-9972-cf497ad3e835,The Road,Cormac McCarthy,Alfred A. Knopf,2006-09-26,"The Road is a post-apocalyptic novel by Cormac McCarthy published in 2006. It is set in a bleak and desolate world where a father and his young son struggle to survive and make their way to the coast. The novel explores themes of survival, love, and humanity in the face of extreme adversity.",12,5
3228c1e1-9f50-4e72-9ab9-54a96bdb3981,Slaughterhouse-Five,Kurt Vonnegut,Delacorte Press,1969-03-31,"Slaughterhouse-Five is a satirical novel by Kurt Vonnegut published in 1969. It is a semi-autobiographical story that explores the themes of war, trauma, and the human condition. The story follows the experiences of Billy Pilgrim, a soldier who becomes unstuck in time and travels back and forth through different moments in his life, including his time as a prisoner of war during the bombing of Dresden in World War II.",8,4
